"Category","Asset slot / id","Filename","Name","Details","Dimensions","Art brief","Status"
"Rune card","rune-ember","rune-ember.png","Ember","Fire · Bolt · common · starter · glyph ☄","512x512 (in 5:7 card)","A small spark, hungry for tinder. Fire-palette glow.","TODO"
"Rune card","rune-drop","rune-drop.png","Drop","Water · Wave · common · starter · glyph ❍","512x512 (in 5:7 card)","Heals 1 HP on cast. Water-palette glow.","TODO"
"Rune card","rune-stone","rune-stone.png","Stone","Earth · Burst · common · starter · glyph ◈","512x512 (in 5:7 card)","Heavy. Sure. Earth-palette glow.","TODO"
"Rune card","rune-gust","rune-gust.png","Gust","Air · Pulse · common · starter · glyph ≋","512x512 (in 5:7 card)","+1 power to the next rune in line. Air-palette glow.","TODO"
"Rune card","rune-hollow","rune-hollow.png","Hollow","Void · Sigil · common · starter · glyph ⊘","512x512 (in 5:7 card)","Strips the foe's armor this turn — your hit ignores it. Void-palette glow.","TODO"
"Rune card","rune-ray","rune-ray.png","Ray","Light · Bolt · common · starter · glyph ✦","512x512 (in 5:7 card)","+50% vs Shadow-aligned foes. Light-palette glow.","TODO"
"Rune card","rune-veil","rune-veil.png","Veil","Shadow · Pulse · common · starter · glyph ☽","512x512 (in 5:7 card)","Draw +1 card after cast. Shadow-palette glow.","TODO"
"Rune card","rune-tally","rune-tally.png","Tally","Order · Sigil · common · starter · glyph ┼","512x512 (in 5:7 card)","+1 power per other Order rune in spell. Order-palette glow.","TODO"
"Rune card","rune-roll","rune-roll.png","Roll","Chaos · Spiral · common · starter · glyph ※","512x512 (in 5:7 card)","Random power: 1 to 5. Chaos-palette glow.","TODO"
"Rune card","rune-echo","rune-echo.png","Echo","Order · Sigil · uncommon · glyph ⟲","512x512 (in 5:7 card)","Triggers the rune to its left a second time. Order-palette glow.","TODO"
"Rune card","rune-mirror","rune-mirror.png","Mirror","Chaos · Spiral · uncommon · glyph ◐","512x512 (in 5:7 card)","Copies the element and shape of the rune to its left. Chaos-palette glow.","TODO"
"Rune card","rune-surge","rune-surge.png","Surge","Fire · Burst · uncommon · glyph ❋","512x512 (in 5:7 card)","+50% power to runes beside it. Fire-palette glow.","TODO"
"Rune card","rune-cascade","rune-cascade.png","Cascade","Water · Chain · uncommon · glyph ⥥","512x512 (in 5:7 card)","All later runes also deal their damage as bonus. Water-palette glow.","TODO"
"Rune card","rune-anchor","rune-anchor.png","Anchor","Earth · Sigil · uncommon · glyph ⚓","512x512 (in 5:7 card)","+1 power to every other Earth rune. Earth-palette glow.","TODO"
"Rune card","rune-drift","rune-drift.png","Drift","Air · Wave · uncommon · glyph ∽","512x512 (in 5:7 card)","+2 power for each rune to its right. Air-palette glow.","TODO"
"Rune card","rune-drain","rune-drain.png","Drain","Shadow · Wave · uncommon · glyph ∝","512x512 (in 5:7 card)","Heals you for half its damage. Shadow-palette glow.","TODO"
"Rune card","rune-beacon","rune-beacon.png","Beacon","Light · Pulse · uncommon · glyph ☼","512x512 (in 5:7 card)","+100% to next rune cast after this one. Light-palette glow.","TODO"
"Rune card","rune-sympathy","rune-sympathy.png","Sympathy","Void · Spiral · uncommon · glyph ∞","512x512 (in 5:7 card)","Copies your most-played rune this run. Void-palette glow.","TODO"
"Rune card","rune-ouroboros","rune-ouroboros.png","Ouroboros","Chaos · Spiral · rare · glyph ∮","512x512 (in 5:7 card)","Re-casts the entire spell once. Once per turn. Chaos-palette glow.","TODO"
"Rune card","rune-twin","rune-twin.png","Twin","Order · Sigil · rare · glyph ⧉","512x512 (in 5:7 card)","First rune in the spell fires twice more. Order-palette glow.","TODO"
"Rune card","rune-triskel","rune-triskel.png","Triskelion","Order · Spiral · rare · glyph ☘","512x512 (in 5:7 card)","+200% if all three slots share an element. Order-palette glow.","TODO"
"Rune card","rune-wildfire","rune-wildfire.png","Wildfire","Fire · Chain · rare · glyph ✺","512x512 (in 5:7 card)","Strikes twice. Burns for 2 next turn. Fire-palette glow.","TODO"
"Rune card","rune-tidewall","rune-tidewall.png","Tidewall","Water · Wave · rare · glyph ⌒","512x512 (in 5:7 card)","+1 damage per missing HP of yours. Water-palette glow.","TODO"
"Rune card","rune-quake","rune-quake.png","Quake","Earth · Burst · rare · glyph ☷","512x512 (in 5:7 card)","Stuns the enemy. Skips their next attack. Earth-palette glow.","TODO"
