Category,Slot,Name,Element,Shape,Rarity,Power,Size,Effect,ArtConcept,Status
CARD (rune),art-slots/rune-ember.png,Ember,Fire,Bolt,common,2,512x512,"A small spark, hungry for tinder.","A small candle flame caught between two fingertips, drawn as a sigil. Warm orange glow.",
CARD (rune),art-slots/rune-drop.png,Drop,Water,Wave,common,1,512x512,Heals 1 HP on cast.,"A single suspended droplet with concentric ripples beneath it. Cool blue, silver linework.",
CARD (rune),art-slots/rune-stone.png,Stone,Earth,Burst,common,3,512x512,Heavy. Sure.,"An angular polyhedron of carved stone, mossy edges, set inside a circle. Earthen browns.",
CARD (rune),art-slots/rune-gust.png,Gust,Air,Pulse,common,1,512x512,+1 power to the next rune in line.,"Three curving wind lines emerging from a central dot. Pale grey-blue, delicate.",
CARD (rune),art-slots/rune-hollow.png,Hollow,Void,Sigil,common,1,512x512,Strips the enemy's ward this turn.,"A perfect ring with darkness inside, ringed by tiny tick marks. Deep purple-black.",
CARD (rune),art-slots/rune-ray.png,Ray,Light,Bolt,common,2,512x512,+50% vs Shadow-aligned foes.,"A six-pointed star with one elongated ray, golden filament, halation.",
CARD (rune),art-slots/rune-veil.png,Veil,Shadow,Pulse,common,1,512x512,Draw +1 card after cast.,A crescent moon partially obscured by a horizontal drape of darkness. Indigo and silver.,
CARD (rune),art-slots/rune-tally.png,Tally,Order,Sigil,common,2,512x512,+1 power per other Order rune in spell.,A precise cross with four small numerals at the points. Gold leaf on cream.,
CARD (rune),art-slots/rune-roll.png,Roll,Chaos,Spiral,common,0,512x512,Random power: 1 to 5.,"A many-sided die mid-tumble, surrounded by random tally marks. Magenta and gold sparks.",
CARD (rune),art-slots/rune-echo.png,Echo,Order,Sigil,uncommon,0,512x512,Triggers the rune to its left a second time.,A bell-shape with three concentric ripple-bells emerging from it. Brass gold.,
CARD (rune),art-slots/rune-mirror.png,Mirror,Chaos,Spiral,uncommon,0,512x512,Copies the element and shape of the rune to its left.,Two crescents forming a yin-yang of cracked glass. Iridescent.,
CARD (rune),art-slots/rune-surge.png,Surge,Fire,Burst,uncommon,2,512x512,+50% power to runes beside it.,"A starburst of flame petals, eight points, hot center white. Orange-red.",
CARD (rune),art-slots/rune-cascade.png,Cascade,Water,Chain,uncommon,0,512x512,All later runes also deal their damage as bonus.,"A vertical chain of three diminishing droplets, each connected by a wavy line. Aquamarine.",
CARD (rune),art-slots/rune-anchor.png,Anchor,Earth,Sigil,uncommon,1,512x512,+1 power to every other Earth rune.,An anchor-cross with roots growing into the earth below. Bronze and umber.,
CARD (rune),art-slots/rune-drift.png,Drift,Air,Wave,uncommon,0,512x512,+2 power for each rune to its right.,"A feather pulled by an unseen current, leaving a curving trail. Pale silver.",
CARD (rune),art-slots/rune-drain.png,Drain,Shadow,Wave,uncommon,2,512x512,Heals you for half its damage.,A downward spiral of dark liquid disappearing into a small drain glyph. Deep purple.,
CARD (rune),art-slots/rune-beacon.png,Beacon,Light,Pulse,uncommon,0,512x512,+100% to next rune cast after this one.,A lighthouse-style burst with twelve evenly spaced rays. Hot gold.,
CARD (rune),art-slots/rune-sympathy.png,Sympathy,Void,Spiral,uncommon,0,512x512,Copies your most-played rune this run.,"Two infinity-loops intertwined, one bright one dark. Violet and silver.",
CARD (rune),art-slots/rune-ouroboros.png,Ouroboros,Chaos,Spiral,rare,0,512x512,Re-casts the entire spell once. Once per turn.,"A serpent biting its own tail, scales like alchemical sigils. Crimson and gold leaf.",
CARD (rune),art-slots/rune-twin.png,Twin,Order,Sigil,rare,0,512x512,First rune in the spell fires twice more.,"Two identical sigils overlapping at the center, slight rotational offset. Mirror-bright gold.",
CARD (rune),art-slots/rune-triskel.png,Triskelion,Order,Spiral,rare,3,512x512,+200% if all three slots share an element.,"Three interlocked spirals forming a triskelion. Celtic-illuminated, gold on green-black.",
CARD (rune),art-slots/rune-wildfire.png,Wildfire,Fire,Chain,rare,3,512x512,Strikes twice. Burns for 2 next turn.,"Flames forming a chain of running figures, sweeping across the sigil. Vermillion.",
CARD (rune),art-slots/rune-tidewall.png,Tidewall,Water,Wave,rare,1,512x512,+1 damage per missing HP of yours.,"A vertical wall of crested wave, foam at top, deep blue base. Hokusai-inspired.",
CARD (rune),art-slots/rune-quake.png,Quake,Earth,Burst,rare,5,512x512,Stuns the enemy. Skips their next attack.,"Cracked ground in an eight-pointed fracture pattern, depth in cracks. Sandstone and ash.",
CARD (rune),art-slots/rune-tempest.png,Tempest,Air,Chain,rare,2,512x512,+1 power per other Air rune in your hand or deck.,Three lightning bolts forming a triangle around a tornado funnel. Cyan and steel.,
CARD (rune),art-slots/rune-eclipse.png,Eclipse,Shadow,Sigil,rare,0,512x512,Damage cannot be reduced this turn.,"A black disc with corona ring, single golden tear of light at three o'clock. Astral.",
CARD (rune),art-slots/rune-recursion.png,Recursion,Order,Spiral,mythic,0,512x512,Triggers itself once. Stacks with other Recursions.,"A spiral that nests into itself infinitely, Escher-like, gold ink on indigo. Sacred geometry.",
CARD (rune),art-slots/rune-pandemonium.png,Pandemonium,Chaos,Sigil,mythic,0,512x512,Every rune in your hand also fires this turn.,"A crown of seven different sigils orbiting a central void. Black gold, asymmetric chaos.",
CARD (rune),art-slots/rune-singularity.png,Singularity,Void,Burst,mythic,0,512x512,Multiplies all damage by your hand size.,"A pinprick of light pulling all lines toward it, accretion disc effect. Deep violet to white.",
CARD (rune),art-slots/rune-aurora.png,Aurora,Light,Pulse,mythic,0,512x512,×5 damage if all three slots are different elements.,"A radiant crown of nine colored rays in a halo arrangement, prismatic. Iridescent gold.",
CARD (rune),art-slots/rune-crescendo.png,Crescendo,Order,Chain,rare,0,512x512,XMULT ×(1 + 6% of all power inscribed before it). Reward for going last.,"⚠ NEW — no concept yet, needs art direction",
CARD (rune),art-slots/rune-culminate.png,Culminate,Void,Burst,mythic,0,512x512,XMULT ×(1 + 11% of all power inscribed before it). The final word.,"⚠ NEW — no concept yet, needs art direction",
CARD (rune),art-slots/rune-squall.png,Squall,Air,Chain,uncommon,1,512x512,"+1 power per other Air rune in the spell, ×2 if it is in slot III.","⚠ NEW — no concept yet, needs art direction",
CARD (rune),art-slots/rune-undertow.png,Undertow,Water,Wave,rare,2,512x512,+1 power to every later rune for each Water rune placed before it.,"⚠ NEW — no concept yet, needs art direction",
CARD (rune),art-slots/rune-umbral.png,Umbral Knot,Shadow,Spiral,rare,0,512x512,KEYSTONE · globalMult ×1.6 if any earlier rune has basePower ≥ 3.,"⚠ NEW — no concept yet, needs art direction",
CARD (rune),art-slots/rune-lumen.png,Lumen,Light,Burst,mythic,0,512x512,KEYSTONE · XMULT ×(1 + 8% of all power inscribed before it). Place last.,"⚠ NEW — no concept yet, needs art direction",
ENEMY,art-slots/enemy-cinder.png,Cinder,,,tier 1,HP 8,512x512,threat 2 · tag shadow,"A small flickering being made of soot and embers, hunched. Reluctant. Coal-black with orange glow inside its chest cavity.",
ENEMY,art-slots/enemy-wisp.png,Wisp,,,tier 1,HP 10,512x512,threat 2 · tag air,"A ghostly translucent figure, half-formed, drifting upward. Pale ice-blue. Disinterested expression suggested.",
ENEMY,art-slots/enemy-fenmote.png,Fenmote,,,tier 1,HP 12,512x512,threat 2 · tag earth,"A small, mossy, stone-skinned thing with lichen growing on its shoulders. Stubborn squat posture. Forest greens, mineral browns.",
ENEMY,art-slots/enemy-wight.png,Hollow Wight,,,tier 2,HP 26,512x512,threat 3 · tag void,"A robed figure with too many teeth visible through the dark hood, no eyes. Tatters of black cloth. Purple-black palette with bone-white teeth highlight.",
ENEMY,art-slots/enemy-sirenshade.png,Sirenshade,,,tier 2,HP 30,512x512,threat 3 · tag water,"A water-haired figure half-submerged, mouth open in song but the wrong shape. Deep blue-green, scaled details, eerie.",
ENEMY,art-slots/enemy-revenant.png,Brass Revenant,,,tier 3,HP 52,512x512,threat 4 · tag order,"A man-shaped automaton of brass, hollow inside, with bell-mouth where head should be. Verdigris and gold. Stoic, regal pose.",
ENEMY,art-slots/enemy-glasswyrm.png,Glass Wyrm,,,tier 3,HP 64,512x512,threat 4 · tag chaos,"A serpentine creature made of fractured stained glass, multiple eye-shapes embedded across its body. Iridescent, cracked.",
ENEMY (BOSS),art-slots/enemy-sovereign.png,The Sovereign,,,boss,HP 210,512x512,threat 5 · tag void,"A regal silhouette wearing a crown of seven runes, robed in shadow, eyes closed but somehow watching. The most ornate image. Black and gold, single red highlight.",
BRAND,art-slots/title-mark.png,Title Mark,,,,,1024x1024,"Game logo sigil, reads inside a circular gold frame",central ritual mark / sigil for the game logo,
BRAND,art-slots/icon-192.png,PWA Icon (small),,,,,192x192,Home-screen icon — derive from title-mark,,
BRAND,art-slots/icon-512.png,PWA Icon (large),,,,,512x512,Splash/install icon — derive from title-mark,,
